yr,mo,mrfuzzy_rev,mrfuzzy_marg,lovebear_rev,lovebear_marg,birthdaybear_rev,birthdaybear_marg,minibear_rev,minibear_marg,total_revenue,total_margin
2012,3,2949.41,1799.50,NULL,NULL,NULL,NULL,NULL,NULL,2949.41,1799.50
2012,4,4999.00,3050.00,NULL,NULL,NULL,NULL,NULL,NULL,4999.00,3050.00
2012,5,5298.94,3233.00,NULL,NULL,NULL,NULL,NULL,NULL,5298.94,3233.00
2012,6,6948.61,4239.50,NULL,NULL,NULL,NULL,NULL,NULL,6948.61,4239.50
2012,7,8498.30,5185.00,NULL,NULL,NULL,NULL,NULL,NULL,8498.30,5185.00
2012,8,11447.71,6984.50,NULL,NULL,NULL,NULL,NULL,NULL,11447.71,6984.50
2012,9,14147.17,8631.50,NULL,NULL,NULL,NULL,NULL,NULL,14147.17,8631.50
2012,10,18196.36,11102.00,NULL,NULL,NULL,NULL,NULL,NULL,18196.36,11102.00
2012,11,30843.83,18818.50,NULL,NULL,NULL,NULL,NULL,NULL,30843.83,18818.50
2012,12,25694.86,15677.00,NULL,NULL,NULL,NULL,NULL,NULL,25694.86,15677.00
2013,1,17096.58,10431.00,2759.54,1725.00,NULL,NULL,NULL,NULL,19856.12,12156.00
2013,2,16396.72,10004.00,9658.39,6037.50,NULL,NULL,NULL,NULL,26055.11,16041.50
2013,3,16646.67,10156.50,3959.34,2475.00,NULL,NULL,NULL,NULL,20606.01,12631.50
2013,4,22495.50,13725.00,5579.07,3487.50,NULL,NULL,NULL,NULL,28074.57,17212.50
2013,5,24345.13,14853.50,4799.20,3000.00,NULL,NULL,NULL,NULL,29144.33,17853.50
2013,6,25444.91,15524.50,5519.08,3450.00,NULL,NULL,NULL,NULL,30963.99,18974.50
2013,7,25044.99,15280.50,5819.03,3637.50,NULL,NULL,NULL,NULL,30864.02,18918.00
2013,8,25894.82,15799.00,5879.02,3675.00,NULL,NULL,NULL,NULL,31773.84,19474.00
2013,9,26694.66,16287.00,5639.06,3525.00,NULL,NULL,NULL,NULL,32333.72,19812.00
2013,10,29694.06,18117.00,8038.66,5025.00,NULL,NULL,NULL,NULL,37732.72,23142.00
2013,11,36992.60,22570.00,10738.21,6712.50,NULL,NULL,NULL,NULL,47730.81,29282.50
2013,12,40191.96,24522.00,10558.24,6600.00,6346.62,4347.00,NULL,NULL,57096.82,35469.00
2014,1,36742.65,22417.50,11218.13,7012.50,9060.03,6205.50,NULL,NULL,57020.81,35635.50
2014,2,28744.25,17537.50,21116.48,13200.00,9611.91,6583.50,5848.05,3997.50,65320.69,41318.50
2014,3,39592.08,24156.00,11518.08,7200.00,11359.53,7780.50,6297.90,4305.00,68767.59,43441.50
2014,4,45290.94,27633.00,12657.89,7912.50,12049.38,8253.00,7707.43,5268.50,77705.64,49067.00
2014,5,52239.55,31872.50,15057.49,9412.50,14026.95,9607.50,8937.02,6109.00,90261.01,57001.50
2014,6,43841.23,26748.50,14637.56,9150.00,12923.19,8851.50,7377.54,5043.00,78779.52,49793.00
2014,7,48090.38,29341.00,14157.64,8850.00,12923.19,8851.50,7737.42,5289.00,82908.63,52331.50
2014,8,48240.35,29432.50,14757.54,9225.00,13429.08,9198.00,9326.89,6375.50,85753.86,54231.00
2014,9,52739.45,32177.50,14637.56,9150.00,14670.81,10048.50,9776.74,6683.00,91824.56,58059.00
2014,10,58438.31,35654.50,17157.14,10725.00,16878.33,11560.50,11216.26,7667.00,103690.04,65607.00
2014,11,72985.40,44530.00,22856.19,14287.50,19683.72,13482.00,13615.46,9307.00,129140.77,81606.50
2014,12,78684.26,48007.00,22916.18,14325.00,24558.66,16821.00,17544.15,11992.50,143703.25,91145.50
2015,1,70135.97,42791.50,23756.04,14850.00,20833.47,14269.50,18323.89,12525.50,133049.37,84436.50
2015,2,55488.90,33855.00,38813.53,24262.50,18579.96,12726.00,16194.60,11070.00,129076.99,81913.50
2015,3,43841.23,26748.50,13497.75,8437.50,12325.32,8442.00,10586.47,7236.50,80250.77,50864.50
