website_session_id,saw_homepage,saw_custom_lander,product_made_it,mrfuzzy_made_it,cart_made_it,shipping_made_it,billing_made_it,thankyou_made_it
11618,1,0,1,1,1,1,1,1
11619,1,0,0,0,0,0,0,0
11620,1,0,1,1,1,1,0,0
11621,1,0,1,0,0,0,0,0
11622,1,0,0,0,0,0,0,0
11623,1,0,1,1,1,0,0,0
11624,1,0,1,1,0,0,0,0
11625,1,0,0,0,0,0,0,0
11626,1,0,0,0,0,0,0,0
11627,1,0,0,0,0,0,0,0
11628,1,0,0,0,0,0,0,0
11629,1,0,1,1,1,1,1,1
11630,1,0,0,0,0,0,0,0
11631,1,0,1,1,0,0,0,0
11632,1,0,1,1,0,0,0,0
11635,1,0,1,1,1,1,1,0
11636,1,0,0,0,0,0,0,0
11637,1,0,0,0,0,0,0,0
11638,1,0,0,0,0,0,0,0
11639,1,0,1,1,1,0,0,0
11640,1,0,1,1,0,0,0,0
11641,1,0,1,1,0,0,0,0
11642,1,0,1,0,0,0,0,0
11643,1,0,1,1,1,1,1,0
11645,1,0,1,0,0,0,0,0
11646,1,0,0,0,0,0,0,0
11647,1,0,0,0,0,0,0,0
11648,1,0,1,1,0,0,0,0
11649,1,0,1,0,0,0,0,0
11650,1,0,1,1,0,0,0,0
11653,1,0,0,0,0,0,0,0
11654,1,0,1,0,0,0,0,0
11655,1,0,1,1,1,0,0,0
11656,1,0,0,0,0,0,0,0
11659,1,0,1,1,0,0,0,0
11660,1,0,1,1,0,0,0,0
11661,1,0,1,0,0,0,0,0
11662,1,0,1,1,0,0,0,0
11663,1,0,1,1,0,0,0,0
11664,1,0,1,1,1,1,1,0
11665,1,0,0,0,0,0,0,0
11666,1,0,0,0,0,0,0,0
11668,1,0,0,0,0,0,0,0
11670,1,0,1,1,1,1,1,1
11671,1,0,1,0,0,0,0,0
11672,1,0,1,1,0,0,0,0
11673,1,0,0,0,0,0,0,0
11674,1,0,1,1,1,0,0,0
11675,1,0,1,0,0,0,0,0
11677,1,0,1,1,1,1,1,1
11678,1,0,0,0,0,0,0,0
11679,1,0,1,0,0,0,0,0
11680,1,0,1,1,0,0,0,0
11681,1,0,0,0,0,0,0,0
11683,0,1,0,0,0,0,0,0
11684,1,0,0,0,0,0,0,0
11685,0,1,0,0,0,0,0,0
11686,0,1,1,0,0,0,0,0
11687,1,0,0,0,0,0,0,0
11688,1,0,0,0,0,0,0,0
11689,0,1,1,1,0,0,0,0
11690,1,0,0,0,0,0,0,0
11691,0,1,1,0,0,0,0,0
11692,0,1,0,0,0,0,0,0
11693,0,1,1,1,0,0,0,0
11694,0,1,1,0,0,0,0,0
11696,1,0,0,0,0,0,0,0
11697,0,1,0,0,0,0,0,0
11698,0,1,0,0,0,0,0,0
11699,0,1,1,0,0,0,0,0
11700,1,0,1,0,0,0,0,0
11701,0,1,0,0,0,0,0,0
11702,0,1,0,0,0,0,0,0
11704,0,1,0,0,0,0,0,0
11705,1,0,0,0,0,0,0,0
11706,1,0,0,0,0,0,0,0
11707,0,1,0,0,0,0,0,0
11708,0,1,1,0,0,0,0,0
11710,0,1,1,0,0,0,0,0
11711,0,1,1,0,0,0,0,0
11713,0,1,0,0,0,0,0,0
11714,0,1,0,0,0,0,0,0
11715,0,1,1,1,1,1,1,0
11716,1,0,1,1,1,1,0,0
11717,1,0,0,0,0,0,0,0
11718,0,1,0,0,0,0,0,0
11720,1,0,1,1,0,0,0,0
11723,1,0,0,0,0,0,0,0
11724,0,1,0,0,0,0,0,0
11725,0,1,1,1,0,0,0,0
11727,1,0,0,0,0,0,0,0
11728,1,0,1,0,0,0,0,0
11729,0,1,1,1,1,1,1,1
11730,1,0,0,0,0,0,0,0
11731,1,0,1,1,1,1,1,0
11732,0,1,0,0,0,0,0,0
11733,1,0,1,1,0,0,0,0
11734,1,0,1,1,1,0,0,0
11735,1,0,1,1,0,0,0,0
11736,1,0,1,1,0,0,0,0
11737,0,1,0,0,0,0,0,0
11739,0,1,1,1,1,1,1,1
11740,0,1,0,0,0,0,0,0
11741,0,1,0,0,0,0,0,0
11742,1,0,0,0,0,0,0,0
11743,1,0,1,1,0,0,0,0
11744,0,1,1,0,0,0,0,0
11745,0,1,1,1,0,0,0,0
11746,1,0,1,0,0,0,0,0
11747,1,0,0,0,0,0,0,0
11748,0,1,1,1,0,0,0,0
11752,1,0,0,0,0,0,0,0
11753,1,0,0,0,0,0,0,0
11754,0,1,0,0,0,0,0,0
11755,0,1,1,1,0,0,0,0
11756,1,0,1,1,1,1,1,1
11757,1,0,1,0,0,0,0,0
11758,0,1,0,0,0,0,0,0
11759,0,1,1,1,0,0,0,0
11760,0,1,1,0,0,0,0,0
11762,0,1,1,1,1,1,1,1
11763,0,1,0,0,0,0,0,0
11764,0,1,1,1,1,0,0,0
11765,0,1,0,0,0,0,0,0
11766,0,1,1,1,0,0,0,0
11767,0,1,1,0,0,0,0,0
11768,1,0,1,1,0,0,0,0
11770,0,1,1,1,0,0,0,0
11771,0,1,0,0,0,0,0,0
11773,1,0,1,0,0,0,0,0
11774,0,1,1,1,1,0,0,0
11775,0,1,1,1,0,0,0,0
11776,0,1,1,1,0,0,0,0
11777,0,1,1,1,0,0,0,0
11778,0,1,0,0,0,0,0,0
11779,0,1,0,0,0,0,0,0
11780,0,1,0,0,0,0,0,0
11781,1,0,0,0,0,0,0,0
11782,0,1,1,0,0,0,0,0
11784,1,0,1,1,1,0,0,0
11785,1,0,0,0,0,0,0,0
11787,0,1,1,1,0,0,0,0
11788,0,1,0,0,0,0,0,0
11789,1,0,1,1,0,0,0,0
11791,0,1,1,1,1,1,1,0
11792,1,0,0,0,0,0,0,0
11793,0,1,0,0,0,0,0,0
11794,0,1,1,1,0,0,0,0
11795,0,1,0,0,0,0,0,0
11797,0,1,1,1,0,0,0,0
11798,1,0,0,0,0,0,0,0
11800,0,1,1,0,0,0,0,0
11803,0,1,0,0,0,0,0,0
11804,0,1,0,0,0,0,0,0
11805,0,1,0,0,0,0,0,0
11806,1,0,0,0,0,0,0,0
11807,0,1,1,0,0,0,0,0
11808,1,0,0,0,0,0,0,0
11809,0,1,0,0,0,0,0,0
11810,0,1,1,1,0,0,0,0
11811,1,0,0,0,0,0,0,0
11812,0,1,1,0,0,0,0,0
11813,1,0,0,0,0,0,0,0
11814,0,1,0,0,0,0,0,0
11815,0,1,0,0,0,0,0,0
11816,1,0,0,0,0,0,0,0
11817,1,0,1,1,1,1,0,0
11818,0,1,0,0,0,0,0,0
11819,1,0,1,1,1,0,0,0
11820,0,1,1,1,0,0,0,0
11821,0,1,0,0,0,0,0,0
11822,1,0,1,1,0,0,0,0
11823,0,1,0,0,0,0,0,0
11824,1,0,0,0,0,0,0,0
11825,1,0,1,0,0,0,0,0
11826,1,0,1,1,0,0,0,0
11827,0,1,0,0,0,0,0,0
11828,1,0,1,1,0,0,0,0
11829,0,1,0,0,0,0,0,0
11830,1,0,1,0,0,0,0,0
11831,0,1,1,1,0,0,0,0
11832,0,1,1,0,0,0,0,0
11833,1,0,1,1,0,0,0,0
11834,1,0,0,0,0,0,0,0
11835,0,1,1,1,1,1,1,1
11836,1,0,0,0,0,0,0,0
11837,1,0,1,1,1,0,0,0
11838,0,1,1,1,0,0,0,0
11839,1,0,0,0,0,0,0,0
11840,1,0,0,0,0,0,0,0
11841,1,0,0,0,0,0,0,0
11842,1,0,0,0,0,0,0,0
11844,1,0,1,0,0,0,0,0
11845,0,1,0,0,0,0,0,0
11846,0,1,0,0,0,0,0,0
11847,1,0,1,0,0,0,0,0
11848,1,0,0,0,0,0,0,0
11849,1,0,0,0,0,0,0,0
11850,1,0,1,1,1,0,0,0
11851,0,1,0,0,0,0,0,0
11852,0,1,1,1,0,0,0,0
11853,1,0,0,0,0,0,0,0
11854,0,1,0,0,0,0,0,0
11855,0,1,0,0,0,0,0,0
11856,0,1,0,0,0,0,0,0
11857,0,1,0,0,0,0,0,0
11858,0,1,0,0,0,0,0,0
11859,1,0,1,1,0,0,0,0
11860,0,1,0,0,0,0,0,0
11861,1,0,0,0,0,0,0,0
11862,0,1,1,0,0,0,0,0
11864,0,1,0,0,0,0,0,0
11865,0,1,0,0,0,0,0,0
11866,0,1,0,0,0,0,0,0
11868,1,0,1,1,1,0,0,0
11869,0,1,1,1,0,0,0,0
11870,1,0,1,0,0,0,0,0
11871,1,0,1,1,1,0,0,0
11872,1,0,0,0,0,0,0,0
11873,0,1,1,0,0,0,0,0
11874,1,0,1,1,0,0,0,0
11875,0,1,0,0,0,0,0,0
11876,1,0,1,0,0,0,0,0
11877,0,1,1,1,0,0,0,0
11878,0,1,0,0,0,0,0,0
11879,0,1,0,0,0,0,0,0
11880,1,0,1,1,0,0,0,0
11881,0,1,0,0,0,0,0,0
11882,1,0,1,1,0,0,0,0
11883,1,0,1,1,0,0,0,0
11884,1,0,1,1,0,0,0,0
11885,0,1,1,0,0,0,0,0
11886,1,0,0,0,0,0,0,0
11887,1,0,0,0,0,0,0,0
11888,1,0,0,0,0,0,0,0
11889,0,1,0,0,0,0,0,0
11890,0,1,0,0,0,0,0,0
11892,1,0,1,1,1,0,0,0
11893,0,1,1,0,0,0,0,0
11894,1,0,1,1,1,1,0,0
11895,0,1,1,1,0,0,0,0
11896,1,0,0,0,0,0,0,0
11897,0,1,0,0,0,0,0,0
11898,0,1,1,1,0,0,0,0
11899,0,1,0,0,0,0,0,0
11900,0,1,1,1,0,0,0,0
11901,1,0,0,0,0,0,0,0
11902,1,0,0,0,0,0,0,0
11903,1,0,0,0,0,0,0,0
11904,1,0,1,1,0,0,0,0
11905,1,0,0,0,0,0,0,0
11906,0,1,1,1,0,0,0,0
11908,0,1,0,0,0,0,0,0
11909,0,1,1,0,0,0,0,0
11910,1,0,1,1,0,0,0,0
11911,1,0,0,0,0,0,0,0
11913,0,1,0,0,0,0,0,0
11914,0,1,0,0,0,0,0,0
11915,1,0,1,1,0,0,0,0
11916,0,1,0,0,0,0,0,0
11917,1,0,1,1,1,1,1,1
11918,0,1,0,0,0,0,0,0
11919,1,0,1,0,0,0,0,0
11920,1,0,1,1,0,0,0,0
11921,0,1,0,0,0,0,0,0
11922,0,1,1,1,0,0,0,0
11923,1,0,0,0,0,0,0,0
11924,1,0,0,0,0,0,0,0
11925,1,0,0,0,0,0,0,0
11926,1,0,0,0,0,0,0,0
11927,1,0,1,1,0,0,0,0
11928,0,1,1,1,0,0,0,0
11929,0,1,0,0,0,0,0,0
11930,0,1,0,0,0,0,0,0
11931,0,1,0,0,0,0,0,0
11932,0,1,0,0,0,0,0,0
11933,0,1,1,1,0,0,0,0
11934,0,1,0,0,0,0,0,0
11935,0,1,0,0,0,0,0,0
11936,1,0,1,1,0,0,0,0
11937,1,0,0,0,0,0,0,0
11938,1,0,1,1,0,0,0,0
11939,0,1,1,1,0,0,0,0
11940,1,0,0,0,0,0,0,0
11941,0,1,1,1,0,0,0,0
11942,0,1,0,0,0,0,0,0
11943,0,1,0,0,0,0,0,0
11944,0,1,0,0,0,0,0,0
11946,0,1,1,1,1,1,1,1
11947,1,0,0,0,0,0,0,0
11948,0,1,0,0,0,0,0,0
11949,0,1,0,0,0,0,0,0
11950,0,1,0,0,0,0,0,0
11951,0,1,1,1,0,0,0,0
11952,1,0,1,1,1,1,1,0
11953,0,1,1,1,0,0,0,0
11954,1,0,0,0,0,0,0,0
11955,0,1,0,0,0,0,0,0
11956,1,0,0,0,0,0,0,0
11957,1,0,1,1,1,1,1,1
11958,1,0,1,1,1,1,1,0
11959,0,1,0,0,0,0,0,0
11960,1,0,0,0,0,0,0,0
11962,1,0,0,0,0,0,0,0
11963,0,1,0,0,0,0,0,0
11964,1,0,0,0,0,0,0,0
11967,0,1,0,0,0,0,0,0
11968,0,1,0,0,0,0,0,0
11969,0,1,1,0,0,0,0,0
11970,1,0,1,1,0,0,0,0
11971,1,0,1,1,1,1,1,1
11973,0,1,0,0,0,0,0,0
11974,1,0,1,1,1,1,1,0
11975,1,0,0,0,0,0,0,0
11976,0,1,0,0,0,0,0,0
11977,1,0,0,0,0,0,0,0
11978,0,1,0,0,0,0,0,0
11979,1,0,0,0,0,0,0,0
11980,0,1,0,0,0,0,0,0
11982,1,0,0,0,0,0,0,0
11983,0,1,1,1,0,0,0,0
11985,0,1,1,1,1,1,1,1
11986,0,1,1,1,0,0,0,0
11987,0,1,0,0,0,0,0,0
11988,0,1,1,1,0,0,0,0
11989,0,1,1,0,0,0,0,0
11990,0,1,1,1,0,0,0,0
11991,0,1,1,1,0,0,0,0
11992,1,0,1,0,0,0,0,0
11994,1,0,1,1,0,0,0,0
11995,0,1,1,1,1,1,0,0
11996,1,0,0,0,0,0,0,0
11997,1,0,1,1,1,1,1,0
11998,0,1,0,0,0,0,0,0
11999,0,1,0,0,0,0,0,0
12000,0,1,0,0,0,0,0,0
12001,1,0,0,0,0,0,0,0
12002,0,1,0,0,0,0,0,0
12003,0,1,0,0,0,0,0,0
12004,0,1,0,0,0,0,0,0
12005,0,1,0,0,0,0,0,0
12006,0,1,1,1,1,0,0,0
12007,1,0,0,0,0,0,0,0
12008,0,1,1,1,0,0,0,0
12009,0,1,1,0,0,0,0,0
12010,1,0,0,0,0,0,0,0
12011,0,1,0,0,0,0,0,0
12012,1,0,1,1,1,1,1,0
12013,0,1,0,0,0,0,0,0
12015,0,1,1,1,1,1,1,0
12017,1,0,1,1,0,0,0,0
12019,0,1,1,1,1,1,1,0
12020,0,1,1,1,0,0,0,0
12021,0,1,0,0,0,0,0,0
12022,1,0,0,0,0,0,0,0
12024,1,0,1,1,0,0,0,0
12025,1,0,0,0,0,0,0,0
12026,0,1,0,0,0,0,0,0
12027,1,0,0,0,0,0,0,0
12028,0,1,1,1,1,1,1,1
12029,1,0,0,0,0,0,0,0
12030,0,1,1,1,1,1,1,0
12031,0,1,0,0,0,0,0,0
12032,0,1,1,1,0,0,0,0
12033,1,0,0,0,0,0,0,0
12034,0,1,1,1,0,0,0,0
12035,0,1,0,0,0,0,0,0
12036,0,1,0,0,0,0,0,0
12037,1,0,1,0,0,0,0,0
12038,0,1,0,0,0,0,0,0
12039,0,1,0,0,0,0,0,0
12040,1,0,0,0,0,0,0,0
12041,1,0,0,0,0,0,0,0
12042,1,0,0,0,0,0,0,0
12043,1,0,0,0,0,0,0,0
12044,0,1,0,0,0,0,0,0
12045,0,1,1,0,0,0,0,0
12046,0,1,1,1,0,0,0,0
12047,1,0,1,1,1,1,1,1
12048,0,1,1,0,0,0,0,0
12049,0,1,0,0,0,0,0,0
12050,0,1,0,0,0,0,0,0
12051,0,1,0,0,0,0,0,0
12052,0,1,0,0,0,0,0,0
12053,1,0,1,1,0,0,0,0
12054,0,1,1,1,0,0,0,0
12056,0,1,0,0,0,0,0,0
12057,1,0,0,0,0,0,0,0
12058,1,0,1,1,0,0,0,0
12059,1,0,0,0,0,0,0,0
12060,0,1,1,1,0,0,0,0
12061,1,0,0,0,0,0,0,0
12062,0,1,0,0,0,0,0,0
12063,0,1,1,1,0,0,0,0
12065,1,0,1,1,1,1,1,1
12066,1,0,0,0,0,0,0,0
12067,1,0,1,1,0,0,0,0
12069,1,0,1,1,1,0,0,0
12070,0,1,0,0,0,0,0,0
12071,1,0,1,0,0,0,0,0
12072,1,0,1,0,0,0,0,0
12074,0,1,0,0,0,0,0,0
12076,0,1,0,0,0,0,0,0
12077,1,0,1,1,1,1,0,0
12078,1,0,1,0,0,0,0,0
12079,0,1,1,1,0,0,0,0
12080,1,0,0,0,0,0,0,0
12081,1,0,1,1,0,0,0,0
12082,1,0,0,0,0,0,0,0
12083,1,0,0,0,0,0,0,0
12084,1,0,1,0,0,0,0,0
12085,1,0,0,0,0,0,0,0
12086,1,0,1,1,1,1,1,1
12087,1,0,1,1,0,0,0,0
12088,0,1,1,0,0,0,0,0
12089,0,1,0,0,0,0,0,0
12091,0,1,0,0,0,0,0,0
12092,1,0,0,0,0,0,0,0
12094,1,0,0,0,0,0,0,0
12095,0,1,1,0,0,0,0,0
12096,0,1,0,0,0,0,0,0
12097,1,0,0,0,0,0,0,0
12098,0,1,0,0,0,0,0,0
12099,0,1,0,0,0,0,0,0
12100,0,1,0,0,0,0,0,0
12101,1,0,1,1,1,1,1,0
12102,0,1,0,0,0,0,0,0
12103,1,0,0,0,0,0,0,0
12104,0,1,1,0,0,0,0,0
12105,0,1,1,1,0,0,0,0
12106,0,1,1,1,0,0,0,0
12107,1,0,0,0,0,0,0,0
12108,0,1,0,0,0,0,0,0
12109,0,1,1,0,0,0,0,0
12110,0,1,0,0,0,0,0,0
12111,0,1,0,0,0,0,0,0
12112,0,1,0,0,0,0,0,0
12114,1,0,0,0,0,0,0,0
12115,1,0,0,0,0,0,0,0
12116,1,0,1,0,0,0,0,0
12118,0,1,0,0,0,0,0,0
12119,0,1,0,0,0,0,0,0
12120,1,0,1,0,0,0,0,0
12121,0,1,1,1,0,0,0,0
12122,0,1,1,1,0,0,0,0
12123,1,0,1,1,1,1,1,0
12124,1,0,1,1,0,0,0,0
